username,post_text,posted_date,retweets,favorites
Newsroommongol,"Өчигдөр УИХ-ын гишүүн Л.Оюун-Эрдэнэ ""Лхагвын тойм"" ярилцлагад орох үеэрээ ""Х.Булгантуяа, Д.Амарбаясгалан нарын гишүүдийг МАН-аас хөөхөд Я.Содбаатар зэрэг Ерөнхийлөгчийн тойрон хүрээлэгчид нөлөөлсөн"" гэж хэлсэн. Энэ тухай Я.Содбаатараас тодруулав.. https://t.co/fSMBN5JVeR",2026-03-12 09:44:42+00:00,3,5
DNN_MN,"Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр бие ороогоод могой шиг ""Дарга аа"" гээд орж ирдэг.
""Буудчих уу, жанжаан"" гэдэг шиг л нөхөр шүү дээ https://t.co/IhZYjzBKUF",2026-03-12 05:17:26+00:00,4,5
Bazar_lawyer,Ерөнхий сайд асан Л.Оюун-Эрдэнэ маш хариуцлагагүй бодит бус мэдээлэл тавьсан бна! МУ-д Голомт капитал ТББ гэж хаа ч байхгүй! Нэр төрөө цэвэрлэж хуулийн байгууллагад өгч хариуцлага тооцох ёстой! https://t.co/ENSGC61KBO,2026-03-12 14:44:20+00:00,2,5
Ariunq,@Batsugar1 Гэрчүүд нь яриад бхд үнэн эсэхийг асуух утгагүй биз. Амарбаясгалан ч тэр Оюун-Эрдэнэ ч тэр энэ талаар ам нээлээ.,2026-03-12 06:23:40+00:00,1,5
Javkhlanbyr,Л.Оюун-Эрдэнэ: Өнөрөөг хонгилдсон нь үнэн. Үндэсний аюулгүй байдлын зөвлөлөөс Н.Өнөрцэцэгийг хорих чиглэл өгсөн‼️ https://t.co/JXhP6GPs1d,2026-03-12 06:30:57+00:00,4,4
UBn_mn,"Л.Оюун-Эрдэнэ: Би Ерөнхий сайд биш болсон учраас ЛАЙВ хийнэ. Зардалгүй амар юм билээ.

Найзууд маань ""Юу бэлэглэх үү"" гэхээр нь ""Гар утасны микрофон аваад өгчих"" гэсэн https://t.co/AYaLAWJlX9",2026-03-12 10:44:37+00:00,2,4
gorkibel,"Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр бие ороогоод могой шиг ""Дарга аа"" гээд орж ирдэг. ""Буудчих уу, жанжиан"" гэдэг шиг л нөхөр шүү дээ‼️
Д.Амарбаясгалангаас намын дэмжлэг хамгийн их авсан хүн бол Б.Энхбаяр байх шүү‼️ 2027 оны сонгуулийн дараа Б.Энхбаяр У.Хүрэлсүх рүү учир зүггүй https://t.co/Cfps52ibsx",2026-03-12 06:33:46+00:00,1,4
tegshzy,"Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр бие ороогоод могой шиг ""Дарга аа"" гээд орж ирдэг. ""Буудчих уу, жанжиан"" гэдэг шиг л нөхөр шүү дээ‼️
Д.Амарбаясгалангаас намын дэмжлэг хамгийн их авсан хүн бол Б.Энхбаяр байх шүү‼️
2027 оны сонгуулийн дараа Б.Энхбаяр У.Хүрэлсүх рүү учир зүггүй https://t.co/LbBysrI0VP",2026-03-12 06:30:18+00:00,4,4
UBn_mn,"Л.ОЮУН-ЭРДЭНЭ: Б.Энхбаяр Бодиос 500 мянган ам.долларын хандивыг хэд хэдэн удаагийн үйлдлээр авсан асуудлыг ирэх долоо хоногт АТГ-д өгнө‼️‼️ 

Нүүрсний сонсгол дээр зориуд Бодийн асуудлыг Бортээгээр сольж, цаана нь байгаа авлигын асуудлыг далдалсан‼️

Б.Энхбаяр нэг асуудлыг https://t.co/1jbe0WNTqS",2026-03-12 06:56:57+00:00,4,4
Tsomuushka,"Л.ОЮУН-ЭРДЭНЭ: МАН-ын даргад өрсөлдөх Д.Амарбаясгалангийн шийдвэр цэвэр өөрийнх нь гаргасан шийдвэр‼️‼️
Ийм шийдвэр эрсдэлтэйг бид бүгд л хэлж байсан‼️ https://t.co/IsqCmMgluq",2026-03-12 06:29:10+00:00,2,3
